feature,importance,split
DTF_season_sin_-0.5412984521036173,0.0,1
DTF_season_sin_-0.5267547528105542,0.0,1
DTF_season_sin_-0.5120551783114646,0.0,1
DTF_season_sin_-0.4972040784469378,0.0,1
DTF_season_sin_-0.4822058478963526,0.0,1
DTF_season_sin_-0.4670649248774303,0.0,1
DTF_season_sin_-0.451785789832884,0.0,1
DTF_season_sin_-0.4363729641045924,0.0,1
DTF_season_sin_-0.4208310085956556,0.0,1
DTF_season_sin_-0.4051645224207563,0.0,1
DTF_season_sin_-0.3893781415452015,0.0,1
DTF_season_sin_-0.3734765374130707,0.0,1
DTF_season_sin_-0.3574644155648614,0.0,1
DTF_season_sin_-0.3413465142450361,0.0,1
DTF_season_sin_-0.3251276029999093,0.0,1
DTF_season_sin_-0.3088124812662537,0.0,1
DTF_season_sin_-0.2924059769510773,0.0,1
DTF_season_sin_-0.2759129450029604,0.0,1
DTF_season_sin_-0.2593382659754056,0.0,1
DTF_season_sin_-0.2426868445825954,0.0,1
DTF_season_sin_-0.225963608248019,0.0,1
DTF_season_sin_-0.2091735056463563,0.0,1
DTF_season_sin_-0.1923215052390948,0.0,1
DTF_season_sin_-0.1754125938042784,0.0,1
DTF_season_sin_-0.1584517749608363,0.0,1
DTF_season_sin_-0.141444067687942,0.0,1
DTF_season_sin_-0.1243945048397999,0.0,1
DTF_season_sin_-0.1073081316563624,0.0,1
DTF_season_sin_-0.0901900042703451,0.0,1
DTF_season_sin_-0.0730451882110474,0.0,1
DTF_season_sin_-0.0558787569053731,0.0,1
DTF_season_sin_-0.0386957901765268,0.0,1
DTF_season_sin_-0.0215013727408137,0.0,1
DTF_season_sin_-0.0043005927029819,0.0,1
DTF_season_sin_0.0172015754182605,0.0,1
DTF_season_sin_0.034398060613608,0.0,1
DTF_season_sin_0.0515843668694083,0.0,1
DTF_season_sin_0.0687554084811394,0.0,1
DTF_season_sin_0.0859061042613327,0.0,1
DTF_season_sin_0.1030313790431787,0.0,1
DTF_season_sin_0.1201261651823505,0.0,1
DTF_season_sin_0.1371854040566005,0.0,1
DTF_season_sin_0.1542040475626894,0.0,1
DTF_season_sin_0.1711770596101998,0.0,1
DTF_season_sin_0.1880994176117975,0.0,1
DTF_season_cos_-0.8105309990194823,0.0,1
DTF_season_cos_-0.8003361849976323,0.0,1
DTF_season_cos_-0.7899045386224707,0.0,1
DTF_season_cos_-0.7792391467859886,0.0,1
DTF_season_cos_-0.7683431655492202,0.0,1
DTF_season_cos_-0.7572198192083127,0.0,1
DTF_season_cos_-0.7458723993404063,0.0,1
DTF_season_cos_-0.734304263829602,0.0,1
DTF_season_cos_-0.722518835873311,0.0,1
DTF_season_cos_-0.7105196029692745,0.0,1
DTF_season_cos_-0.6983101158835584,0.0,1
DTF_season_cos_-0.6858939875998223,0.0,1
DTF_season_cos_-0.673274892250183,0.0,1
DTF_season_cos_-0.6604565640279754,0.0,1
DTF_season_cos_-0.6474427960827475,0.0,1
DTF_season_cos_-0.6342374393978054,0.0,1
DTF_season_cos_-0.620844401650647,0.0,1
DTF_season_cos_-0.6072676460566135,0.0,1
DTF_season_cos_-0.593511190196115,0.0,1
DTF_season_cos_-0.5795791048257612,0.0,1
DTF_season_cos_-0.5654755126737576,0.0,1
DTF_season_cos_-0.5512045872199277,0.0,1
DTF_season_cos_-0.5367705514607103,0.0,1
DTF_season_cos_-0.522177676659508,0.0,1
DTF_season_cos_-0.5074302810827518,0.0,1
DTF_season_cos_-0.4925327287220543,0.0,1
DTF_season_cos_-0.4774894280028391,0.0,1
